PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,42,64,24,24,1,141,196,2,1,11,-2,44
0,46,25,14,25,0,159,224,2,0,0,-33,41
0,45,13,11,23,0,161,221,2,0,0,-32,37
0,39,41,11,17,0,162,205,2,1,4,-6,37
1,38,56,22,22,1,131,212,2,0,0,-23,43
1,38,56,22,22,1,143,196,3,1,11,-14,43
1,37,36,24,24,1,103,200,3,0,0,-46,43
1,38,56,13,14,0,131,227,2,0,0,-30,44
0,43,37,15,27,0,157,215,2,0,0,-19,41
0,43,24,11,20,0,192,246,2,0,0,-28,41
0,41,49,17,20,0,186,217,2,1,8,-5,40
0,44,37,14,20,0,122,207,2,0,0,-22,41
0,40,9,20,20,1,148,209,2,0,0,-38,33
1,47,74,12,19,0,184,249,2,2,17,17,45
1,36,43,17,18,0,125,221,2,0,0,-33,44
1,35,59,20,20,1,161,225,2,0,0,-33,43
0,41,3,12,19,0,117,213,2,0,0,-41,33
0,45,36,12,24,0,180,219,2,0,0,-18,42
0,46,57,22,22,1,183,237,2,1,5,-15,44
1,36,52,22,22,1,121,205,2,0,0,-31,43
