PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,41,78,21,21,1,216,241,2,1,7,-4,43
1,33,54,11,12,0,134,210,2,0,0,-33,44
1,31,78,12,12,1,127,218,2,0,0,-28,43
1,38,73,18,18,1,142,200,2,1,7,2,43
1,37,76,19,19,1,150,203,2,1,8,-5,44
0,39,60,11,24,0,171,236,2,0,0,-19,45
1,34,68,18,18,1,119,183,2,0,0,-19,43
1,32,68,29,29,1,124,199,2,0,0,-25,43
1,32,72,10,10,1,107,208,2,0,0,-26,43
1,36,65,16,16,1,152,210,2,0,0,-19,43
1,39,60,10,15,0,149,192,2,1,7,-1,43
1,37,50,21,21,1,120,197,3,0,0,-36,44
1,36,53,16,16,1,117,202,2,0,0,-23,43
1,33,76,18,18,1,112,205,2,0,0,-18,43
1,41,62,21,21,1,155,198,2,1,9,-3,44
1,30,73,16,16,1,107,205,2,0,0,-33,43
0,45,27,9,25,0,167,209,2,0,0,-20,37
0,34,60,16,21,0,191,224,2,0,0,-25,43
1,42,51,18,18,1,151,231,2,0,0,-30,45
0,43,46,19,19,1,182,234,2,0,0,-21,43
