PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,36,88.0,25,25,1,191.0,238,2,1,13,5,43
0,36,47.0,8,19,0,213.0,258,2,0,0,-25,40
1,32,66.0,14,14,1,141.0,225,2,0,0,-34,43
1,31,68.0,24,24,1,118.0,216,2,0,0,-30,43
1,37,64.0,19,19,1,189.0,262,2,0,0,-21,43
0,37,43.0,13,27,0,150.0,244,2,0,0,-18,38
1,36,65.0,29,29,1,193.0,275,2,0,0,-23,43
0,47,49.0,17,21,0,199.0,269,2,0,0,-28,42
1,33,76.0,16,16,1,157.0,238,2,0,0,-20,43
1,35,67.0,30,30,1,211.0,282,2,0,0,-28,44
1,37,78.0,18,25,0,242.0,280,2,1,8,1,43
0,35,56.0,16,18,0,172.0,244,2,2,16,16,34
0,33,55.0,24,25,0,146.0,246,2,0,0,-31,43
0,32,41.0,9,16,0,136.0,228,2,0,0,-13,35
0,37,40.0,13,20,0,192.0,256,2,0,0,-18,40
0,36,67.0,19,22,0,214.0,262,2,1,16,7,41
1,38,71.0,17,19,0,200.0,258,2,1,10,1,44
1,34,62.0,16,26,0,171.0,263,2,0,0,-31,44
1,35,77.0,20,20,1,171.0,227,2,1,13,2,43
0,39,41.0,9,22,0,182.0,267,2,0,0,-25,40
0,33,29.0,8,18,0,126.0,200,2,0,0,-19,34
0,44,41.0,13,26,0,226.0,266,2,1,8,-1,33
1,35,66.0,20,24,0,220.0,298,2,0,0,-34,45
1,39,65.0,21,21,1,219.0,264,2,0,0,-29,44
0,35,37.0,13,17,0,184.0,246,2,0,0,-14,34
0,35,47.0,8,14,0,140.0,222,2,1,5,-1,36
0,37,34.0,11,21,0,179.0,235,2,0,0,-18,37
0,36,46.0,11,17,0,197.0,269,2,0,0,-21,39
0,37,17.0,10,21,0,170.0,239,2,0,0,-17,31
0,37,44.0,10,17,0,192.0,248,2,1,6,-2,38
0,33,26.0,10,10,1,131.0,229,2,0,0,-20,32
0,34,21.0,8,14,0,162.0,229,2,0,0,-20,31
0,39,26.0,15,26,0,195.0,249,2,0,0,-20,39
0,35,17.0,9,21,0,118.0,221,2,0,0,-15,30
0,35,37.0,8,16,0,168.0,245,2,1,6,-4,34
0,36,29.0,13,17,0,155.0,279,2,0,0,-20,37
1,39,64.0,20,20,1,166.0,244,2,1,9,0,42
1,36,78.0,19,19,1,196.0,258,2,2,19,19,37
