PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,40,40,10,17,0,103,199,2,0,0,-16,43
1,35,61,11,11,1,103,185,2,0,0,-20,43
1,36,66,13,13,1,85,194,2,0,0,-21,44
1,40,67,18,18,1,146,194,2,1,8,0,43
0,44,21,8,18,0,168,224,2,0,0,-25,34
1,33,52,20,20,1,110,187,2,0,0,-29,43
0,41,64,16,17,0,199,224,2,1,11,7,42
1,40,76,21,21,1,182,223,2,1,11,3,43
1,41,74,16,16,1,137,209,2,1,13,5,45
1,34,55,16,16,1,113,187,2,0,0,-37,43
1,39,52,18,18,1,130,197,2,0,0,-22,43
0,43,48,11,25,0,167,230,2,0,0,-24,42
1,40,44,20,20,1,108,191,2,0,0,-25,44
1,32,61,14,14,1,101,192,2,0,0,-27,43
1,38,34,8,13,0,76,193,2,0,0,-35,44
1,42,55,18,18,1,123,198,2,0,0,-19,45
1,47,68,24,24,1,178,211,2,1,11,4,44
1,41,53,27,27,1,133,196,2,1,7,-13,43
1,41,67,24,24,1,157,214,2,0,0,-13,45
0,41,40,15,18,0,138,205,2,0,0,-20,41
