PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,36,69,15,15,1,109,181,2,1,4,-6,43
1,33,69,13,13,1,107,185,2,0,0,-16,43
1,38,59,18,18,1,105,190,2,0,0,-12,43
1,33,72,11,11,1,100,181,2,0,0,-17,43
1,33,66,14,17,0,117,187,2,0,0,-20,44
1,32,56,10,10,1,97,181,2,0,0,-26,43
1,34,65,22,22,1,113,190,2,0,0,-19,43
1,30,82,14,14,1,113,208,2,0,0,-23,43
1,36,67,18,18,1,137,187,2,0,0,-17,44
1,39,76,18,18,1,162,193,2,1,9,0,44
1,32,66,16,16,1,111,200,2,0,0,-31,43
1,33,57,17,17,1,154,207,2,0,0,-26,43
1,34,58,14,14,1,111,181,2,0,0,-29,43
1,39,54,13,18,0,162,209,2,0,0,-12,44
1,36,43,9,15,0,103,183,2,0,0,-18,43
1,39,43,12,21,0,142,215,2,0,0,-20,45
1,34,51,12,19,0,166,193,2,0,0,-20,43
0,46,26,9,24,0,151,204,2,0,0,-17,34
1,33,67,13,13,1,113,187,2,0,0,-11,43
1,33,60,12,13,0,155,198,2,0,0,-26,44
