PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,35,103.0,16,16,1,138.0,209,2,2,21,21,43
1,31,53.0,12,15,0,90.0,188,2,0,0,-31,43
1,34,63.0,6,16,0,104.0,187,2,0,0,-18,43
1,39,56.0,14,18,0,143.0,187,2,1,5,-4,43
1,36,49.0,13,14,0,121.0,180,2,0,0,-17,43
1,39,73.0,27,27,1,122.0,188,2,1,5,-6,45
1,41,51.0,12,20,0,163.0,215,2,1,4,-5,43
1,34,56.0,28,28,1,149.0,205,2,0,0,-32,43
1,33,49.0,8,13,0,108.0,169,2,0,0,-19,43
1,34,68.0,13,13,1,117.0,181,2,0,0,-15,43
1,35,60.0,23,23,1,86.0,177,2,1,7,-13,43
1,29,59.0,6,11,0,127.0,192,2,0,0,-37,43
1,41,53.0,13,23,0,120.0,199,2,1,9,-8,44
1,34,52.0,8,11,0,114.0,191,2,0,0,-16,43
1,40,64.0,25,25,1,119.0,186,2,1,8,-3,43
1,34,62.0,11,11,1,92.0,187,2,0,0,-24,43
1,35,54.0,21,21,1,85.0,180,2,0,0,-19,43
1,32,70.0,12,12,1,114.0,198,2,0,0,-27,43
1,39,50.0,16,23,0,167.0,204,2,0,0,-20,43
1,35,46.0,10,11,0,105.0,185,2,0,0,-22,43
