PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,31,69,17,17,1,104,184,2,0,0,-22,43
0,40,37,10,17,0,137,201,2,0,0,-17,41
1,32,69,16,16,1,118,187,2,0,0,-21,43
1,34,72,12,12,1,100,191,2,0,0,-20,44
1,36,52,21,21,1,111,182,2,0,0,-17,43
1,34,53,15,20,0,126,188,2,0,0,-21,43
1,36,49,8,19,0,119,186,2,0,0,-22,43
1,36,79,11,11,1,128,181,2,1,10,2,43
0,46,38,13,25,0,196,261,2,0,0,-32,42
1,33,58,20,20,1,112,195,2,0,0,-30,44
1,36,56,21,21,1,136,187,2,0,0,-22,43
1,33,58,12,19,0,132,186,2,0,0,-17,43
1,41,90,25,25,1,197,219,2,2,24,24,43
1,37,51,14,19,0,127,203,2,0,0,-28,45
1,35,52,8,16,0,104,193,2,0,0,-21,43
1,32,69,16,16,1,157,208,2,0,0,-27,43
1,37,52,10,14,0,119,194,2,0,0,-19,44
1,34,54,18,18,1,108,191,2,0,0,-31,43
1,36,58,14,14,1,88,176,2,0,0,-19,43
1,35,56,20,20,1,100,182,2,0,0,-21,43
