PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,52,-5.0,12,24,0,-4.0,207,6,0,0,-57
1,44,50.0,14,19,0,64.0,194,2,1,11,-2
0,46,-16.0,16,19,0,-14.0,198,8,2,16,-65
1,49,43.0,19,19,1,25.0,200,5,2,23,-18
1,45,21.0,20,20,1,-31.0,208,5,1,5,-43
0,50,-35.0,16,21,0,-64.0,200,10,2,14,-81
0,48,-1.0,16,22,0,-40.0,196,8,2,16,-48
0,48,-17.0,13,14,0,-28.0,200,8,1,10,-63
1,42,40.0,16,16,1,-8.0,177,2,0,0,-24
1,49,21.0,15,18,0,-49.0,196,5,1,8,-34
1,49,37.0,22,22,1,-27.0,194,5,2,14,-30
1,46,41.0,23,23,1,-6.0,185,2,0,0,-23
1,43,39.0,17,17,1,-91.0,180,2,0,0,-23
1,47,28.0,15,15,1,-60.0,201,5,1,8,-43
0,46,-36.0,14,19,0,19.0,197,13,4,34,-77
1,45,24.0,14,15,0,-25.0,184,2,0,0,-25
1,50,57.0,17,17,1,-39.0,220,6,3,23,-9
1,43,32.0,16,19,0,66.0,193,2,0,0,-23
1,48,16.0,23,26,0,-45.0,194,7,2,14,-39
1,43,48.0,19,19,1,-13.0,178,3,1,11,-14
1,42,39.0,17,17,1,-40.0,190,2,0,0,-25
1,47,23.0,18,18,1,-29.0,194,4,1,5,-36
1,47,38.0,14,14,1,-79.0,200,4,1,8,-24
0,49,-29.0,20,20,1,-80.0,199,9,1,5,-90
1,41,40.0,17,17,1,54.0,179,2,0,0,-23
1,40,34.0,9,15,0,57.0,177,2,0,0,-24
1,44,25.0,25,25,1,-4.0,192,3,0,0,-36
1,44,68.0,20,20,1,-24.0,190,7,4,34,3
0,49,-20.0,11,27,0,-42.0,195,7,0,0,-71
1,46,29.0,12,17,0,-24.0,196,4,1,6,-27
1,44,27.0,16,17,0,-64.0,182,2,0,0,-24
1,47,15.0,15,20,0,-54.0,194,5,1,8,-36
1,46,23.0,17,20,0,70.0,202,2,0,0,-25
0,48,-9.0,13,21,0,-51.0,202,6,1,6,-59
0,48,-46.0,12,17,0,-85.0,201,9,0,0,-94
1,42,40.0,23,23,1,-20.0,175,2,0,0,-24
1,45,46.0,22,22,1,1.0,196,6,3,21,-20
1,48,13.0,20,20,1,-57.0,192,7,2,16,-45
0,49,6.0,18,18,1,1.0,207,8,2,14,-52
0,50,18.0,21,21,1,14.0,203,9,3,27,-48
1,45,26.0,15,15,1,-17.0,192,4,1,5,-40
1,47,21.0,12,24,0,-27.0,196,4,1,6,-29
1,43,28.0,11,17,0,-65.0,192,2,0,0,-23
1,43,64.0,13,19,0,109.0,208,3,2,23,10
0,45,10.0,15,18,0,38.0,200,3,0,0,-36
0,43,13.0,12,18,0,-48.0,182,7,3,23,-29
1,45,40.0,22,22,1,-60.0,190,2,0,0,-23
1,44,24.0,12,12,1,-46.0,178,4,1,5,-39
1,47,26.0,11,21,0,-40.0,194,2,0,0,-25
1,44,72.0,16,16,1,-9.0,206,3,2,23,10
1,48,33.0,16,16,1,-50.0,198,4,1,5,-27
1,44,38.0,18,18,1,-11.0,190,4,1,8,-26
0,45,36.0,16,16,1,-35.0,202,4,1,8,-27
1,45,57.0,15,30,0,27.0,198,5,3,28,3
1,41,38.0,9,20,0,60.0,185,2,0,0,-23
0,48,36.0,24,24,1,71.0,202,7,3,28,-25
1,44,17.0,16,16,1,-32.0,180,5,1,5,-44
1,45,32.0,10,20,0,-44.0,187,5,2,13,-19
0,49,-15.0,12,18,0,-73.0,200,6,1,6,-58
1,45,39.0,18,18,1,-59.0,184,2,0,0,-24
1,42,40.0,15,15,1,13.0,176,2,0,0,-23
1,44,29.0,10,13,0,50.0,192,2,0,0,-25
1,43,36.0,13,15,0,-4.0,189,3,1,5,-20
1,44,18.0,13,23,0,-21.0,184,4,1,5,-34
1,44,28.0,11,16,0,-11.0,185,2,0,0,-25
0,47,13.0,18,18,1,-91.0,206,5,1,6,-43
0,46,-5.0,14,17,0,-31.0,202,8,3,25,-53
0,46,-39.0,22,23,0,-22.0,208,11,2,13,-95
0,51,32.0,22,22,1,4.0,214,8,3,26,-37
1,44,66.0,20,20,1,5.0,188,4,2,22,1
1,45,44.0,14,14,1,69.0,211,2,0,0,-23
1,42,40.0,19,19,1,-10.0,181,2,0,0,-23
1,45,29.0,10,21,0,-79.0,189,2,0,0,-23
1,48,31.0,14,16,0,-82.0,191,4,1,10,-19
0,47,10.0,18,18,1,40.0,211,5,1,5,-56
1,43,52.0,18,18,1,34.0,193,3,1,8,-14
0,48,-11.0,15,19,0,-43.0,196,7,1,9,-59
0,44,-3.0,11,15,0,-63.0,174,3,0,0,-42
1,42,35.0,26,26,1,8.0,187,2,0,0,-32
1,46,44.0,23,23,1,-33.0,183,4,2,18,-14
1,44,27.0,17,17,1,-27.0,194,2,0,0,-32
1,46,42.0,21,21,1,-71.0,194,4,2,14,-28
1,41,26.0,13,18,0,-35.0,179,2,0,0,-30
1,44,10.0,13,17,0,-54.0,183,3,0,0,-42
0,44,-52.0,11,33,0,-47.0,199,9,0,0,-104
0,45,-5.0,13,33,0,-54.0,182,5,1,6,-53
1,43,36.0,19,19,1,-67.0,181,2,0,0,-30
0,44,21.0,21,21,1,-58.0,205,5,2,16,-42
1,46,22.0,11,17,0,-35.0,186,2,0,0,-33
0,48,-15.0,10,24,0,-11.0,201,5,0,0,-64
0,47,-14.0,15,17,0,3.0,203,5,0,0,-62
1,42,37.0,15,15,1,77.0,201,2,0,0,-30
0,48,21.0,12,27,0,16.0,198,6,3,26,-31
0,49,16.0,12,20,0,-29.0,204,2,0,0,-33
1,48,33.0,16,16,1,-47.0,196,2,0,0,-30
1,46,20.0,13,14,0,-25.0,184,2,0,0,-30
