PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,43,32.0,12,15,0,-47.0,187,2,0,0,-23
0,48,24.0,22,22,1,-28.0,204,5,1,5,-47
0,46,-7.0,14,22,0,-29.0,192,6,0,0,-56
0,44,26.0,12,13,0,30.0,224,2,0,0,-25
1,44,38.0,11,14,0,7.0,202,3,1,9,-16
0,48,15.0,10,18,0,-11.0,208,3,0,0,-36
1,44,56.0,13,13,1,10.0,204,4,2,20,-10
1,48,63.0,14,20,0,-18.0,207,4,3,24,11
0,44,2.0,19,19,1,-40.0,181,4,0,0,-47
0,44,21.0,12,25,0,26.0,205,3,0,0,-36
1,44,34.0,19,19,1,-64.0,190,2,0,0,-24
0,46,32.0,11,18,0,-17.0,192,2,0,0,-24
1,45,18.0,9,16,0,-7.0,195,4,1,8,-33
1,45,25.0,16,16,1,-21.0,180,5,1,8,-36
0,43,-39.0,16,16,1,-71.0,175,9,2,15,-91
0,47,-14.0,14,17,0,-3.0,193,8,1,8,-61
0,45,27.0,13,25,0,-52.0,191,2,0,0,-23
1,46,24.0,14,14,1,-20.0,206,4,1,12,-38
0,49,-6.0,14,19,0,30.0,206,7,2,15,-50
0,46,-26.0,12,23,0,30.0,213,6,0,0,-75
0,46,24.0,15,18,0,-31.0,193,4,1,9,-25
0,46,36.0,18,22,0,-23.0,191,5,2,15,-22
1,46,28.0,12,24,0,-9.0,184,5,2,17,-23
0,47,-25.0,18,21,0,-34.0,192,8,1,8,-72
1,46,28.0,14,23,0,-70.0,187,4,1,10,-23
0,49,-88.0,13,24,0,-68.0,207,12,0,0,-141
0,46,-15.0,13,22,0,59.0,204,9,3,31,-64
0,47,21.0,14,24,0,131.0,214,2,0,0,-24
1,44,18.0,10,15,0,-28.0,191,3,0,0,-36
0,43,33.0,11,11,1,-10.0,209,2,0,0,-24
0,43,30.0,12,14,0,41.0,198,2,0,0,-24
0,46,6.0,9,17,0,-11.0,198,4,0,0,-44
1,43,27.0,10,15,0,-65.0,171,2,0,0,-23
1,45,23.0,11,18,0,-71.0,186,2,0,0,-25
1,46,18.0,18,25,0,-5.0,192,5,1,11,-31
1,43,31.0,11,13,0,20.0,205,2,0,0,-24
0,49,27.0,13,18,0,-40.0,206,4,1,6,-30
1,44,62.0,14,14,1,1.0,181,2,1,12,-1
0,43,21.0,11,21,0,46.0,190,2,0,0,-24
0,48,23.0,12,24,0,-19.0,196,2,0,0,-25
1,42,29.0,10,15,0,-40.0,179,2,0,0,-24
0,45,-23.0,11,16,0,-90.0,189,9,2,17,-74
1,44,21.0,11,14,0,-18.0,201,3,0,0,-36
0,46,-79.0,8,14,0,-82.0,199,10,0,0,-130
1,42,34.0,9,13,0,-69.0,179,2,0,0,-25
1,43,32.0,13,19,0,32.0,193,2,0,0,-24
1,47,28.0,16,16,1,4.0,205,4,1,5,-34
0,51,14.0,13,17,0,-47.0,200,4,1,6,-34
1,43,29.0,12,19,0,-17.0,182,2,0,0,-23
1,49,98.0,17,17,1,26.0,240,6,5,45,34
0,47,-59.0,9,26,0,-42.0,197,10,1,5,-110
0,48,-22.0,13,18,0,-4.0,187,9,2,15,-64
0,46,-23.0,8,30,0,-33.0,201,8,1,5,-75
1,41,32.0,12,14,0,-26.0,183,2,0,0,-24
1,50,55.0,26,26,1,28.0,207,11,6,49,-11
0,49,19.0,17,21,0,-76.0,193,4,1,4,-32
0,46,-62.0,10,25,0,-23.0,199,8,0,0,-114
1,41,30.0,10,18,0,57.0,188,2,0,0,-23
0,47,18.0,13,21,0,16.0,209,6,2,15,-29
1,44,24.0,13,18,0,-15.0,182,2,0,0,-25
0,47,19.0,14,17,0,13.0,212,7,3,24,-36
1,49,22.0,25,25,1,-41.0,195,8,3,25,-37
0,47,-26.0,14,20,0,-18.0,201,10,2,15,-76
1,42,18.0,10,15,0,-52.0,177,3,0,0,-36
0,48,-19.0,14,20,0,7.0,200,7,1,5,-68
1,43,35.0,16,20,0,-74.0,175,5,2,13,-19
1,44,64.0,23,23,1,38.0,191,2,1,13,1
0,47,-20.0,12,20,0,-66.0,191,6,0,0,-68
0,46,-43.0,13,15,0,-4.0,200,11,2,15,-93
0,50,-29.0,15,20,0,-61.0,205,8,1,5,-79
1,45,34.0,15,16,0,-50.0,180,3,1,6,-18
0,45,8.0,10,13,0,-26.0,193,4,1,8,-38
1,45,35.0,14,14,1,-30.0,197,4,1,5,-27
0,43,28.0,11,17,0,-64.0,181,2,0,0,-23
1,47,36.0,16,16,1,-29.0,202,2,0,0,-25
1,46,22.0,12,19,0,-50.0,200,2,0,0,-32
1,42,33.0,21,21,1,-32.0,188,2,0,0,-30
1,50,23.0,11,26,0,0.0,207,8,3,26,-33
0,51,-22.0,12,24,0,-36.0,203,7,2,15,-67
1,45,16.0,15,21,0,7.0,188,2,0,0,-33
1,47,35.0,13,28,0,32.0,196,4,2,14,-17
0,47,-6.0,24,24,1,-63.0,192,10,3,25,-64
0,48,-120.0,18,25,0,-112.0,199,16,1,5,-171
0,51,-25.0,10,17,0,-70.0,200,5,0,0,-72
0,50,-64.0,17,21,0,-36.0,207,11,2,15,-115
1,43,22.0,17,22,0,7.0,182,2,0,0,-30
0,46,-15.0,12,14,0,-49.0,193,5,0,0,-67
1,46,44.0,25,25,1,-84.0,195,2,0,0,-23
0,51,14.0,16,20,0,-41.0,204,2,0,0,-30
0,45,-25.0,14,16,0,-48.0,193,6,0,0,-74
0,47,-32.0,14,14,1,-17.0,192,8,1,5,-88
0,48,-48.0,16,24,0,-69.0,194,8,0,0,-98
0,46,-69.0,12,21,0,-67.0,213,11,1,6,-124
1,45,37.0,15,15,1,-88.0,180,2,0,0,-21
1,44,33.0,18,18,1,-41.0,189,2,0,0,-30
0,48,-63.0,11,19,0,-104.0,191,11,0,0,-115
1,44,22.0,23,26,0,-14.0,191,4,1,8,-38
0,49,-113.0,16,17,0,-92.0,201,13,0,0,-164
0,48,10.0,29,29,1,7.0,192,10,4,40,-44
0,50,-36.0,19,21,0,-4.0,205,10,2,17,-86
1,44,43.0,18,18,1,-92.0,190,2,0,0,-22
1,45,5.0,25,25,1,-27.0,194,12,5,47,-56
0,46,-12.0,13,19,0,-24.0,197,9,2,16,-65
