PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,47,20.0,19,19,1,-61.0,192,5,1,6,-41
0,47,-47.0,15,25,0,-17.0,194,11,1,10,-97
0,47,6.0,15,17,0,-12.0,189,4,1,8,-35
0,45,-49.0,13,14,0,-66.0,197,9,1,5,-95
1,43,41.0,16,16,1,57.0,189,2,0,0,-25
1,44,31.0,12,13,0,-34.0,181,2,0,0,-23
0,47,-3.0,16,16,1,-65.0,196,7,1,6,-59
0,46,-66.0,14,15,0,-22.0,197,11,2,15,-110
0,51,-28.0,20,27,0,-6.0,207,7,0,0,-79
1,47,41.0,21,21,1,20.0,214,2,0,0,-24
1,45,5.0,20,22,0,-38.0,197,7,2,17,-46
1,47,25.0,9,19,0,10.0,202,2,0,0,-25
1,46,22.0,21,21,1,-59.0,187,6,1,11,-40
1,49,19.0,24,24,1,-11.0,201,9,3,23,-43
0,46,-41.0,13,20,0,-31.0,194,10,2,14,-87
1,44,25.0,13,14,0,-84.0,190,4,1,5,-31
1,46,33.0,18,18,1,-57.0,189,2,0,0,-25
0,46,3.0,16,16,1,-35.0,195,5,1,5,-55
1,45,21.0,18,18,1,-15.0,187,5,1,5,-39
0,46,-10.0,9,20,0,-48.0,185,7,1,8,-57
1,43,39.0,12,12,1,-42.0,175,2,0,0,-23
1,43,64.0,19,19,1,77.0,191,2,1,12,-1
0,45,-4.0,9,26,0,-66.0,189,9,3,15,-60
0,49,-49.0,9,17,0,-70.0,205,10,0,0,-99
1,46,68.0,20,20,1,8.0,201,6,3,33,5
0,50,-74.0,22,29,0,2.0,207,13,2,15,-123
1,44,33.0,14,15,0,-43.0,179,2,0,0,-23
1,43,35.0,11,11,1,16.0,182,2,0,0,-25
1,49,35.0,17,18,0,32.0,210,6,3,27,-22
1,43,41.0,16,16,1,-14.0,194,2,0,0,-25
1,43,18.0,11,19,0,-23.0,196,3,0,0,-36
0,48,-51.0,10,14,0,-20.0,199,10,2,11,-101
1,48,24.0,23,23,1,-18.0,192,12,4,35,-36
1,45,56.0,15,21,0,-18.0,192,3,2,17,4
