PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,46,-7.0,17,20,0,-45.0,189,6,1,8,-48
0,48,-59.0,17,18,0,-56.0,204,12,2,15,-108
0,48,-8.0,13,19,0,-35.0,196,6,1,8,-53
1,45,25.0,10,13,0,-68.0,182,2,0,0,-24
0,50,-87.0,13,14,0,-64.0,200,11,1,5,-131
1,44,55.0,12,22,0,113.0,203,2,1,12,-1
1,48,37.0,20,20,1,-9.0,207,7,3,19,-34
0,48,-22.0,10,28,0,-69.0,201,6,0,0,-72
1,49,43.0,21,21,1,-40.0,193,3,1,9,-16
1,47,35.0,16,16,1,-19.0,187,4,1,8,-25
0,46,12.0,9,15,0,17.0,206,3,0,0,-36
1,47,39.0,13,18,0,-36.0,191,4,2,13,-12
1,55,25.0,28,28,1,-59.0,212,7,2,19,-41
1,43,34.0,20,20,1,20.0,196,5,1,12,-38
1,49,30.0,14,14,1,-19.0,203,11,5,41,-31
1,46,52.0,15,17,0,26.0,194,2,1,11,-2
0,46,18.0,14,16,0,-18.0,196,4,1,9,-27
1,46,36.0,19,19,1,-50.0,186,5,2,15,-21
0,46,-27.0,10,21,0,42.0,202,8,2,15,-67
0,49,6.0,16,17,0,-38.0,201,5,1,12,-44
0,50,19.0,17,27,0,8.0,208,5,2,15,-27
1,45,18.0,10,19,0,-39.0,192,3,0,0,-36
0,46,19.0,14,15,0,-21.0,203,3,0,0,-36
1,52,41.0,19,19,1,-74.0,213,6,2,20,-19
0,45,22.0,15,15,1,-32.0,192,4,1,6,-30
0,50,-60.0,15,21,0,-58.0,206,7,0,0,-107
0,49,21.0,10,15,0,0.0,214,2,0,0,-30
1,47,28.0,13,21,0,17.0,199,2,0,0,-23
0,48,-12.0,14,17,0,-41.0,209,4,0,0,-62
0,48,-20.0,12,20,0,-59.0,191,7,1,9,-66
0,47,-69.0,11,15,0,-30.0,197,9,0,0,-115
0,47,-19.0,22,22,1,24.0,199,6,1,9,-75
1,49,15.0,18,18,1,22.0,206,8,3,19,-48
