PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,49,-64.0,14,18,0,-86.0,211,11,0,0,-117
1,44,32.0,19,19,1,-19.0,182,2,0,0,-25
1,43,31.0,15,18,0,3.0,188,2,0,0,-23
1,45,36.0,17,17,1,5.0,190,2,0,0,-25
1,44,39.0,17,17,1,-69.0,184,2,0,0,-24
1,44,33.0,17,17,1,48.0,188,2,0,0,-25
1,45,48.0,13,13,1,18.0,185,6,3,27,-14
0,49,-35.0,15,24,0,-29.0,194,11,3,23,-80
0,45,24.0,9,16,0,98.0,204,2,0,0,-23
0,48,-57.0,8,18,0,-11.0,221,9,0,0,-107
1,50,37.0,28,28,1,67.0,214,10,5,47,-25
0,46,-10.0,14,20,0,-22.0,191,9,3,19,-54
0,48,14.0,20,22,0,15.0,204,5,1,8,-36
0,45,23.0,24,25,0,45.0,191,2,0,0,-25
1,47,30.0,14,24,0,-49.0,189,5,2,15,-19
1,51,26.0,22,27,0,-8.0,211,7,3,27,-26
1,45,33.0,11,12,0,-30.0,179,4,1,10,-17
1,50,71.0,14,14,1,23.0,214,5,3,31,8
1,44,28.0,13,15,0,-53.0,185,2,0,0,-24
1,45,26.0,8,18,0,10.0,189,4,1,5,-26
1,43,28.0,18,24,0,-65.0,180,2,0,0,-25
0,48,-50.0,10,17,0,-68.0,199,11,1,8,-98
1,46,38.0,25,25,1,-17.0,191,7,3,20,-28
0,48,-23.0,8,15,0,-23.0,200,7,0,0,-74
1,42,30.0,12,18,0,25.0,200,2,0,0,-25
1,50,28.0,21,21,1,-14.0,199,4,1,6,-39
0,50,8.0,23,23,1,-52.0,200,5,1,5,-56
0,48,11.0,14,27,0,-20.0,198,5,2,15,-37
1,47,16.0,20,20,1,5.0,194,5,1,8,-48
0,48,-41.0,13,17,0,-26.0,218,10,2,14,-89
1,47,24.0,18,18,1,-72.0,195,6,2,15,-38
1,44,24.0,17,28,0,-6.0,194,2,0,0,-33
0,46,-44.0,13,21,0,-69.0,186,10,2,17,-85
1,49,11.0,22,22,1,-4.0,204,12,4,35,-50
1,46,38.0,20,20,1,88.0,207,2,0,0,-32
0,43,-13.0,15,17,0,-34.0,174,7,2,14,-55
0,45,-31.0,10,23,0,-4.0,191,6,0,0,-80
1,40,37.0,18,18,1,56.0,195,2,0,0,-32
0,45,7.0,14,29,0,30.0,196,4,1,6,-41
0,50,-10.0,10,23,0,28.0,209,8,2,13,-52
0,47,-29.0,20,30,0,-28.0,192,9,3,28,-73
0,50,-19.0,9,25,0,-49.0,196,8,2,12,-69
0,51,-62.0,14,27,0,-45.0,206,13,3,28,-112
0,43,22.0,9,17,0,-40.0,180,2,0,0,-30
0,50,17.0,17,20,0,-55.0,200,7,3,19,-33
1,42,55.0,12,16,0,-18.0,180,2,1,11,1
0,45,-19.0,13,15,0,-72.0,186,6,1,9,-65
1,48,50.0,24,24,1,-5.0,194,5,2,20,-13
0,48,18.0,11,16,0,-89.0,204,3,0,0,-37
1,44,42.0,15,15,1,-33.0,174,2,0,0,-21
0,48,-35.0,11,27,0,-64.0,195,11,2,14,-77
1,45,14.0,15,18,0,-50.0,185,5,1,8,-38
1,47,44.0,17,17,1,-53.0,196,5,2,21,-20
1,45,43.0,19,19,1,-8.0,193,3,1,9,-22
0,50,-26.0,14,18,0,-4.0,195,8,2,13,-74
1,44,28.0,13,16,0,-48.0,175,2,0,0,-22
0,47,-22.0,17,24,0,-13.0,203,9,3,24,-71
0,48,-19.0,12,23,0,-32.0,203,7,0,0,-69
0,48,-18.0,10,34,0,-65.0,195,11,3,21,-65
0,46,23.0,11,12,0,-21.0,191,2,0,0,-29
1,46,30.0,15,20,0,13.0,194,3,1,9,-22
0,52,-28.0,12,14,0,-38.0,223,8,1,8,-79
0,46,-27.0,16,21,0,3.0,196,7,1,10,-81
0,48,21.0,27,28,0,-11.0,212,4,1,9,-33
0,45,-27.0,14,16,0,-2.0,197,13,5,38,-74
0,52,0.0,24,24,1,-19.0,218,7,1,8,-66
0,47,-15.0,18,27,0,-16.0,200,8,2,15,-62
0,47,-53.0,11,16,0,-70.0,189,8,0,0,-102
0,44,6.0,18,27,0,-45.0,192,3,0,0,-41
0,46,-15.0,13,18,0,33.0,192,10,3,24,-61
0,51,-58.0,20,20,1,-60.0,211,13,2,15,-121
0,44,15.0,15,15,1,3.0,198,5,1,8,-47
1,44,25.0,9,23,0,-40.0,181,2,0,0,-29
0,47,-9.0,10,31,0,-26.0,194,5,0,0,-55
1,42,32.0,26,26,1,-36.0,183,2,0,0,-31
0,49,18.0,23,26,0,62.0,203,6,2,14,-29
1,48,48.0,23,23,1,-38.0,204,6,3,24,-12
1,46,36.0,19,25,0,-53.0,197,3,1,9,-16
1,42,28.0,14,20,0,28.0,200,2,0,0,-28
1,41,19.0,11,23,0,-53.0,179,3,0,0,-36
0,55,-14.0,11,17,0,-5.0,218,4,0,0,-64
1,45,19.0,9,14,0,-54.0,189,2,0,0,-34
1,39,52.0,19,19,1,-50.0,173,2,0,0,-17
0,47,-21.0,17,21,0,-36.0,201,7,1,13,-70
0,51,-2.0,19,20,0,-6.0,200,7,1,10,-51
0,49,12.0,15,23,0,-36.0,209,6,1,6,-38
0,47,-36.0,11,22,0,-44.0,191,9,2,11,-83
1,42,42.0,21,21,1,12.0,190,2,0,0,-25
1,47,77.0,23,23,1,10.0,224,2,2,17,17
1,39,23.0,12,20,0,11.0,178,3,0,0,-34
1,55,64.0,27,27,1,-58.0,205,3,2,17,0
0,46,-4.0,9,25,0,-32.0,199,7,2,14,-46
1,44,30.0,22,22,1,-20.0,188,5,2,17,-30
1,44,19.0,12,21,0,-62.0,192,2,0,0,-34
1,51,43.0,13,13,1,-65.0,220,6,3,19,-20
1,48,37.0,13,18,0,57.0,202,4,2,15,-13
1,43,46.0,14,16,0,-13.0,189,3,1,9,-8
0,45,-65.0,16,20,0,11.0,198,11,2,15,-110
1,44,28.0,13,22,0,-42.0,192,2,0,0,-28
1,43,41.0,24,24,1,-51.0,177,2,0,0,-19
