PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,43,29.0,13,13,1,2.0,203,4,1,8,-31
1,50,37.0,12,21,0,-40.0,204,4,1,12,-18
1,44,44.0,18,18,1,-46.0,189,2,0,0,-24
1,43,30.0,8,13,0,-23.0,186,2,0,0,-23
0,45,33.0,14,19,0,107.0,206,2,0,0,-24
1,44,37.0,14,14,1,-29.0,195,6,2,20,-29
0,45,-9.0,12,15,0,-82.0,186,7,1,9,-53
1,50,46.0,16,16,1,-32.0,194,5,2,23,-15
1,41,8.0,25,25,1,-29.0,183,5,1,5,-54
1,43,28.0,22,22,1,-80.0,188,3,0,0,-36
0,46,-47.0,11,24,0,-39.0,185,8,1,4,-86
1,43,44.0,18,18,1,1.0,186,2,0,0,-24
1,45,38.0,18,18,1,29.0,194,2,0,0,-23
1,44,25.0,13,14,0,-14.0,186,4,1,8,-24
1,44,18.0,15,22,0,-44.0,182,6,2,13,-35
1,49,23.0,12,14,0,-57.0,184,2,0,0,-23
1,47,27.0,16,18,0,8.0,192,2,0,0,-23
0,46,12.0,21,21,1,-20.0,189,11,4,33,-49
1,44,61.0,14,14,1,-6.0,189,2,1,12,-1
1,41,48.0,15,15,1,38.0,192,2,0,0,-23
1,43,36.0,15,15,1,-16.0,190,2,0,0,-24
1,49,28.0,15,17,0,-25.0,196,4,1,11,-22
1,43,63.0,14,14,1,31.0,194,2,1,12,-1
1,48,76.0,18,18,1,-46.0,220,3,2,23,16
1,44,27.0,13,21,0,-42.0,184,2,0,0,-23
0,47,-52.0,12,23,0,19.0,202,8,1,7,-102
1,47,3.0,13,24,0,-98.0,187,4,0,0,-51
1,45,40.0,21,21,1,-38.0,197,2,0,0,-22
0,47,18.0,13,14,0,3.0,192,4,1,9,-25
0,45,-9.0,15,23,0,16.0,196,7,2,15,-56
1,43,32.0,18,18,1,-44.0,187,2,0,0,-32
0,46,10.0,10,21,0,-72.0,196,3,0,0,-42
1,44,23.0,17,17,1,-69.0,197,5,1,6,-43
1,40,34.0,15,15,1,34.0,194,2,0,0,-30
1,42,9.0,9,16,0,-48.0,177,3,0,0,-41
0,42,38.0,13,13,1,104.0,207,2,0,0,-30
0,43,-38.0,11,20,0,-20.0,175,10,3,24,-81
1,47,34.0,13,20,0,50.0,207,4,2,15,-15
0,47,-17.0,18,19,0,-48.0,188,7,2,13,-58
0,48,9.0,16,17,0,-38.0,197,5,1,4,-45
0,45,30.0,14,17,0,-3.0,208,3,1,11,-19
1,42,32.0,14,17,0,73.0,187,2,0,0,-23
0,44,20.0,8,18,0,-33.0,204,3,0,0,-43
1,44,41.0,21,21,1,-16.0,185,2,0,0,-30
1,48,8.0,21,21,1,-69.0,204,4,0,0,-60
0,46,-85.0,11,29,0,-74.0,188,12,1,4,-132
0,43,26.0,18,18,1,93.0,206,4,1,6,-36
0,44,-88.0,12,21,0,-79.0,193,11,1,6,-131
1,43,26.0,19,19,1,-29.0,180,2,0,0,-32
0,46,-60.0,20,20,1,-62.0,185,13,3,25,-109
0,46,16.0,16,16,1,-16.0,193,4,1,9,-43
1,48,30.0,16,23,0,66.0,210,6,3,25,-28
0,45,35.0,16,20,0,26.0,209,2,0,0,-19
1,44,13.0,9,20,0,25.0,188,3,0,0,-40
1,46,24.0,14,18,0,-88.0,195,5,1,6,-33
0,47,42.0,17,17,1,31.0,209,2,0,0,-19
1,44,37.0,15,15,1,-30.0,185,2,0,0,-31
0,48,-32.0,16,16,1,-10.0,196,8,0,0,-90
0,49,-19.0,13,13,1,-12.0,198,13,5,36,-72
0,47,0.0,25,25,1,16.0,201,5,0,0,-63
1,44,31.0,23,23,1,46.0,190,2,0,0,-31
0,44,-79.0,10,18,0,-51.0,199,12,1,6,-126
0,47,-38.0,22,22,1,21.0,205,8,1,9,-96
1,42,23.0,12,16,0,-18.0,183,2,0,0,-31
1,47,40.0,24,24,1,-73.0,189,2,0,0,-18
0,49,-31.0,18,26,0,-35.0,197,10,2,13,-77
0,44,-32.0,11,27,0,-79.0,176,8,1,9,-73
1,46,46.0,20,24,0,-34.0,189,3,1,8,-10
1,50,26.0,19,19,1,-55.0,196,10,4,29,-36
0,46,-38.0,16,24,0,-28.0,202,9,1,8,-92
0,50,-24.0,15,25,0,-25.0,204,5,0,0,-70
0,47,-35.0,15,19,0,-27.0,192,9,2,13,-76
1,47,32.0,25,25,1,42.0,199,2,0,0,-31
0,50,-20.0,15,17,0,-14.0,207,11,4,32,-67
0,43,32.0,20,20,1,30.0,188,5,2,14,-23
1,45,53.0,18,20,0,-60.0,194,2,1,9,1
0,44,-12.0,14,21,0,-16.0,193,6,1,8,-59
0,44,28.0,16,21,0,3.0,201,3,0,0,-28
1,42,59.0,14,26,0,78.0,200,2,1,9,-2
0,43,22.0,13,19,0,13.0,190,4,2,13,-24
1,48,75.0,26,26,1,55.0,214,3,2,17,6
0,47,-67.0,16,22,0,-89.0,190,10,1,8,-116
0,47,3.0,14,23,0,-85.0,193,7,2,10,-52
1,42,45.0,24,24,1,-4.0,179,2,0,0,-17
1,47,32.0,22,22,1,6.0,200,7,3,26,-28
1,44,22.0,11,23,0,-1.0,184,2,0,0,-25
1,43,19.0,11,16,0,13.0,196,2,0,0,-37
1,47,48.0,16,16,1,24.0,215,7,4,27,-15
1,43,48.0,11,11,1,-57.0,204,2,0,0,-17
1,46,33.0,25,25,1,19.0,200,5,1,5,-32
0,42,21.0,16,16,1,-30.0,179,4,1,8,-29
1,44,42.0,11,14,0,-6.0,189,4,2,17,-18
1,44,18.0,11,16,0,-55.0,180,5,2,14,-31
0,47,-40.0,9,16,0,-19.0,192,6,0,0,-87
0,46,-65.0,11,27,0,-66.0,193,11,1,8,-109
1,43,24.0,11,13,0,-70.0,183,2,0,0,-27
1,42,31.0,24,24,1,-90.0,173,2,0,0,-28
1,45,36.0,13,22,0,-15.0,200,3,1,8,-20
0,44,33.0,22,22,1,8.0,206,4,1,9,-32
0,46,37.0,14,18,0,46.0,195,5,2,22,-16
