PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,42,33.0,18,18,1,-119.0,174,4,1,6,-30
1,43,31.0,11,18,0,-47.0,179,3,1,4,-20
1,42,32.0,14,14,1,-37.0,180,4,1,9,-27
1,48,64.0,16,25,0,43.0,219,4,3,27,14
0,47,-34.0,11,23,0,-27.0,193,9,1,8,-78
0,48,29.0,19,22,0,1.0,201,3,1,5,-19
0,43,14.0,10,13,0,-24.0,185,3,0,0,-36
0,51,-24.0,15,17,0,-31.0,202,8,1,4,-68
1,45,31.0,19,21,0,-32.0,192,3,1,6,-17
1,43,36.0,14,14,1,96.0,200,2,0,0,-23
1,43,7.0,8,17,0,-52.0,180,5,1,8,-45
1,42,19.0,13,14,0,-48.0,181,3,0,0,-36
1,43,37.0,21,21,1,-56.0,174,2,0,0,-24
1,44,29.0,13,14,0,-52.0,178,3,1,4,-20
1,43,37.0,15,15,1,-46.0,188,2,0,0,-23
0,43,34.0,20,20,1,-6.0,192,2,0,0,-25
0,46,8.0,16,16,1,-62.0,183,5,1,5,-51
1,45,28.0,14,17,0,-49.0,187,2,0,0,-23
0,46,37.0,16,18,0,7.0,191,7,4,38,-13
0,47,-16.0,19,20,0,-15.0,197,7,1,9,-62
0,43,8.0,11,15,0,-42.0,185,3,0,0,-36
1,46,23.0,11,18,0,-70.0,184,3,0,0,-36
1,40,28.0,9,13,0,62.0,176,2,0,0,-23
1,46,27.0,10,17,0,-13.0,195,2,0,0,-24
1,42,24.0,11,14,0,-33.0,177,2,0,0,-24
1,47,32.0,13,20,0,-11.0,205,5,2,22,-27
1,43,22.0,12,19,0,-23.0,189,2,0,0,-30
0,46,-65.0,10,24,0,-7.0,202,9,0,0,-114
0,51,-93.0,13,25,0,-109.0,202,11,0,0,-145
1,44,46.0,19,19,1,-22.0,186,3,1,8,-15
0,44,0.0,22,22,1,-40.0,187,8,2,14,-57
0,45,-10.0,9,19,0,41.0,225,6,1,8,-59
1,41,33.0,17,17,1,-54.0,174,3,1,6,-26
1,49,11.0,27,27,1,-38.0,211,10,3,23,-51
1,47,11.0,12,16,0,-58.0,196,5,1,8,-46
1,45,21.0,19,22,0,-47.0,198,2,0,0,-30
0,44,-4.0,13,22,0,-10.0,188,5,1,5,-44
1,45,38.0,26,26,1,-69.0,192,3,1,5,-18
1,44,52.0,14,17,0,24.0,186,4,2,20,-1
0,49,-19.0,12,23,0,-64.0,195,7,1,7,-70
0,44,8.0,6,20,0,87.0,200,3,0,0,-41
1,43,23.0,21,21,1,-48.0,187,3,0,0,-41
1,44,22.0,18,19,0,-9.0,184,2,0,0,-30
0,48,8.0,12,20,0,20.0,198,4,1,6,-32
1,44,28.0,17,17,1,-69.0,184,10,5,41,-35
0,43,12.0,16,16,1,-8.0,201,8,3,19,-45
1,46,26.0,17,24,0,-39.0,191,5,2,12,-26
1,40,27.0,9,24,0,-48.0,175,2,0,0,-30
1,43,38.0,10,17,0,-16.0,193,3,1,6,-17
0,46,-8.0,9,24,0,-50.0,211,5,0,0,-58
0,46,-30.0,9,17,0,-28.0,198,9,2,9,-84
0,47,9.0,16,16,1,-15.0,197,10,4,32,-46
0,43,-17.0,12,20,0,-25.0,184,8,2,15,-65
0,43,10.0,8,13,0,25.0,189,5,2,11,-33
1,43,29.0,19,19,1,13.0,186,2,0,0,-31
1,45,24.0,16,24,0,-46.0,195,5,2,15,-29
0,47,2.0,12,16,0,-16.0,218,4,0,0,-49
0,44,18.0,15,27,0,97.0,203,2,0,0,-31
1,43,31.0,12,22,0,-102.0,179,2,0,0,-18
1,44,50.0,8,17,0,3.0,197,2,1,9,0
0,45,16.0,14,15,0,58.0,196,3,0,0,-31
1,45,62.0,17,17,1,-31.0,195,4,2,17,-1
0,46,-5.0,7,17,0,-33.0,201,3,0,0,-49
0,43,-5.0,11,13,0,-30.0,188,4,0,0,-49
0,45,-8.0,10,18,0,-5.0,202,6,1,7,-58
0,47,-31.0,16,16,1,-13.0,193,8,2,14,-94
0,42,5.0,11,24,0,-41.0,178,8,3,23,-40
0,49,-66.0,10,27,0,28.0,199,10,1,6,-107
0,49,-83.0,12,18,0,-55.0,194,13,2,13,-127
1,43,38.0,16,16,1,-42.0,185,4,1,6,-24
1,44,42.0,11,14,0,-34.0,181,4,2,13,-6
0,46,28.0,17,17,1,29.0,219,2,0,0,-31
0,41,25.0,14,15,0,46.0,188,2,0,0,-29
1,44,53.0,15,15,1,-63.0,180,4,2,15,-5
0,43,22.0,14,14,1,2.0,199,5,1,9,-38
1,41,26.0,10,23,0,-35.0,174,2,0,0,-25
1,49,38.0,22,22,1,-84.0,180,5,3,21,-18
1,44,48.0,29,29,1,-30.0,186,5,3,22,-14
1,40,33.0,13,14,0,-8.0,183,2,0,0,-17
0,45,-1.0,15,18,0,-45.0,185,8,3,25,-43
1,42,49.0,13,13,1,47.0,178,3,1,9,-16
1,40,44.0,11,17,0,79.0,184,2,1,9,-8
0,43,21.0,12,15,0,-2.0,199,2,0,0,-28
1,47,48.0,23,23,1,38.0,200,8,4,34,-10
1,45,47.0,21,21,1,-39.0,196,6,3,22,-14
0,48,7.0,10,23,0,-38.0,199,4,0,0,-40
1,46,24.0,11,17,0,-45.0,178,2,0,0,-25
1,50,24.0,20,20,1,25.0,204,6,2,13,-40
1,44,27.0,13,15,0,-31.0,191,3,1,9,-21
1,43,45.0,18,18,1,-40.0,187,2,0,0,-17
1,43,24.0,14,17,0,-61.0,184,2,0,0,-30
1,44,56.0,11,15,0,-1.0,188,3,2,17,6
1,40,38.0,12,23,0,92.0,193,2,0,0,-17
1,45,22.0,12,17,0,-40.0,188,2,0,0,-25
0,46,17.0,23,30,0,-38.0,193,5,1,11,-31
1,46,24.0,11,19,0,-51.0,192,6,2,13,-27
0,45,-42.0,16,16,1,-76.0,183,11,2,15,-93
1,41,28.0,9,15,0,-6.0,187,4,1,6,-30
1,44,35.0,11,13,0,-77.0,188,3,1,4,-13
1,41,44.0,14,14,1,35.0,193,2,0,0,-19
