PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,41,37,12,19,0,192,222,2,1,5,-4,36
0,39,39,10,20,0,148,208,2,1,7,-2,36
1,40,80,19,19,1,175,219,2,2,13,13,43
1,40,54,18,18,1,127,210,2,0,0,-16,43
0,41,26,23,23,1,121,209,2,0,0,-31,38
0,39,48,14,15,0,138,214,2,0,0,-19,43
1,42,79,18,26,0,224,247,2,2,21,21,41
1,44,80,27,27,1,221,247,2,1,13,9,43
0,42,22,10,21,0,188,228,2,0,0,-36,39
1,42,60,27,27,1,180,221,2,1,13,6,38
1,44,84,23,23,1,204,243,2,2,20,20,43
1,42,65,23,23,1,172,225,2,1,11,-9,44
1,37,61,14,14,1,112,198,2,0,0,-21,43
0,43,44,22,23,0,169,228,2,1,8,-4,41
1,46,52,15,34,0,163,221,2,1,13,-7,44
0,42,52,22,26,0,170,211,2,1,7,-1,41
1,41,40,9,23,0,119,224,2,0,0,-26,43
1,40,66,17,17,1,150,205,2,1,10,-6,43
0,40,18,10,16,0,94,205,2,0,0,-27,37
0,39,23,18,24,0,128,202,2,0,0,-23,37
