PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,39,50,8,21,0,164,210,2,0,0,-14,43
0,45,46,12,19,0,192,234,2,0,0,-19,44
1,41,69,15,16,0,159,223,2,2,12,12,43
1,35,67,13,13,1,132,193,2,0,0,-14,43
1,44,107,29,29,1,232,287,2,2,21,21,44
0,40,47,19,24,0,181,239,2,0,0,-34,43
1,38,58,23,23,1,146,215,2,0,0,-32,43
0,43,36,12,20,0,160,233,2,0,0,-31,43
1,38,56,14,20,0,146,188,2,1,6,-3,43
1,35,49,18,18,1,89,194,2,0,0,-33,43
1,37,81,20,20,1,150,206,2,1,9,0,43
1,42,57,23,23,1,164,224,2,0,0,-26,45
1,34,53,11,13,0,150,202,2,0,0,-23,43
1,40,52,26,26,1,180,219,2,0,0,-34,43
1,39,47,20,20,1,111,204,2,0,0,-28,43
1,47,81,22,22,1,225,250,2,1,12,5,45
1,41,50,22,22,1,146,215,2,0,0,-20,44
1,38,72,21,22,0,186,221,2,2,14,14,43
0,44,10,16,24,0,129,207,3,1,4,-34,35
0,36,51,10,20,0,155,205,2,0,0,-20,43
