PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,41,28,10,18,0,178,217,2,0,0,-15,37
0,43,47,20,31,0,198,246,2,0,0,-20,44
0,43,38,20,29,0,175,223,2,0,0,-18,42
0,40,24,14,18,0,161,217,2,0,0,-22,35
1,40,44,27,27,1,102,199,2,0,0,-28,43
1,42,60,19,19,1,155,215,2,1,4,-3,43
1,41,62,19,19,1,142,214,2,0,0,-19,44
1,41,57,20,20,1,158,217,2,1,7,-10,43
1,36,55,17,17,1,126,203,2,0,0,-25,43
0,46,19,9,19,0,176,225,2,0,0,-29,39
0,45,40,10,17,0,168,245,2,0,0,-30,45
0,44,26,14,18,0,203,237,2,0,0,-30,42
0,39,21,13,19,0,102,210,2,0,0,-37,39
1,41,55,19,19,1,127,208,2,0,0,-20,44
0,44,17,15,24,0,144,220,2,0,0,-31,41
0,42,55,31,31,1,180,212,2,1,9,-12,45
1,46,78,33,33,1,248,265,2,1,21,13,45
0,43,54,21,25,0,191,226,2,1,9,3,41
1,45,60,21,23,0,168,227,2,1,8,4,44
1,44,55,19,20,0,177,220,2,1,9,1,43
