PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,37,73.0,18,18,1,178.0,206,2,1,4,-7,43
1,39,69.0,10,18,0,124.0,204,2,1,9,4,44
1,37,73.0,23,23,1,152.0,209,2,0,0,-16,44
1,35,76.0,11,11,1,161.0,225,2,0,0,-25,44
1,35,65.0,19,19,1,168.0,208,2,0,0,-12,43
1,35,65.0,14,14,1,141.0,192,2,0,0,-18,44
1,36,52.0,15,21,0,141.0,193,2,0,0,-18,44
0,45,52.0,9,17,0,226.0,265,2,0,0,-29,44
1,34,93.0,21,21,1,179.0,224,2,1,7,-3,44
1,36,54.0,11,20,0,143.0,212,2,0,0,-17,43
1,34,110.0,23,23,1,160.0,219,2,1,20,11,44
1,35,54.0,12,18,0,134.0,229,2,0,0,-43,43
0,40,44.0,28,28,1,149.0,211,2,0,0,-24,42
1,32,69.0,12,12,1,151.0,213,2,0,0,-28,43
1,35,68.0,17,17,1,125.0,211,2,0,0,-24,44
1,33,59.0,14,19,0,130.0,218,2,0,0,-28,43
1,38,83.0,23,23,1,151.0,214,2,1,7,-4,44
1,34,48.0,8,12,0,131.0,203,2,0,0,-33,45
1,38,49.0,11,18,0,127.0,217,2,0,0,-17,43
1,35,59.0,19,19,1,123.0,204,2,0,0,-27,43
