PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,42,54.0,18,18,1,116.0,201,2,1,12,-1
0,43,18.0,10,17,0,79.0,227,2,0,0,-23
0,42,22.0,9,20,0,111.0,203,2,0,0,-24
0,46,27.0,14,22,0,127.0,219,2,0,0,-24
0,42,31.0,24,24,1,109.0,206,2,0,0,-25
0,45,37.0,22,22,1,147.0,218,2,0,0,-25
1,42,85.0,17,17,1,172.0,234,2,2,23,23
0,45,43.0,20,20,1,161.0,236,2,0,0,-23
1,46,88.0,20,20,1,155.0,235,2,2,23,23
1,43,32.0,17,17,1,106.0,198,2,0,0,-23
0,45,28.0,12,19,0,116.0,208,2,0,0,-23
0,45,32.0,22,22,1,148.0,223,2,0,0,-25
0,43,31.0,17,17,1,121.0,224,2,0,0,-24
1,43,62.0,26,26,1,143.0,211,2,1,12,-1
0,43,26.0,14,18,0,109.0,201,2,0,0,-24
0,45,31.0,15,15,1,132.0,207,2,0,0,-23
0,45,-42.0,9,24,0,75.0,217,5,0,0,-80
1,45,43.0,17,17,1,58.0,200,2,0,0,-23
0,41,23.0,15,29,0,84.0,204,2,0,0,-23
0,43,31.0,24,24,1,107.0,199,2,0,0,-23
1,45,56.0,17,20,0,136.0,222,2,1,12,1
0,44,0.0,9,19,0,108.0,211,3,0,0,-41
0,43,31.0,21,21,1,117.0,203,2,0,0,-23
0,43,33.0,19,19,1,136.0,211,2,0,0,-25
1,44,54.0,13,19,0,140.0,208,2,1,12,-1
0,45,32.0,10,16,0,183.0,235,2,0,0,-23
1,44,42.0,17,17,1,125.0,217,2,0,0,-23
0,42,19.0,6,15,0,109.0,201,2,0,0,-23
1,44,36.0,15,15,1,58.0,213,2,0,0,-23
0,43,29.0,18,18,1,126.0,195,2,0,0,-23
1,46,38.0,25,25,1,100.0,203,2,0,0,-23
0,44,38.0,13,21,0,123.0,215,2,0,0,-23
1,44,50.0,19,19,1,73.0,215,2,0,0,-23
0,42,27.0,16,16,1,63.0,194,2,0,0,-23
0,45,-12.0,15,20,0,114.0,222,4,0,0,-62
0,41,19.0,14,21,0,105.0,197,2,0,0,-23
0,41,20.0,11,16,0,109.0,202,2,0,0,-23
0,45,-1.0,13,19,0,170.0,249,5,1,6,-50
0,47,27.0,12,18,0,125.0,234,2,0,0,-23
0,43,-22.0,10,13,0,129.0,220,4,0,0,-62
0,43,27.0,22,22,1,105.0,197,2,0,0,-23
1,45,39.0,24,24,1,132.0,224,2,0,0,-23
0,43,-3.0,17,18,0,118.0,199,3,0,0,-41
1,44,38.0,18,18,1,119.0,211,2,0,0,-23
0,42,14.0,12,18,0,160.0,217,2,0,0,-23
0,46,16.0,15,21,0,85.0,227,3,0,0,-34
0,43,37.0,21,21,1,99.0,207,2,0,0,-23
1,42,39.0,23,23,1,116.0,208,2,0,0,-23
0,45,28.0,13,20,0,126.0,218,2,0,0,-23
1,42,68.0,14,14,1,126.0,207,2,1,12,2
0,44,0.0,16,18,0,110.0,202,3,0,0,-46
0,48,-37.0,8,24,0,98.0,229,6,0,0,-85
0,46,24.0,26,26,1,186.0,238,2,0,0,-29
0,45,25.0,15,18,0,150.0,225,2,0,0,-29
0,41,12.0,13,25,0,97.0,191,2,0,0,-31
0,43,33.0,20,20,1,99.0,213,2,0,0,-29
0,44,33.0,24,24,1,103.0,206,2,0,0,-29
0,44,17.0,14,20,0,149.0,217,2,0,0,-29
0,44,10.0,15,22,0,81.0,203,2,0,0,-31
0,45,22.0,14,18,0,141.0,216,2,0,0,-29
0,48,-33.0,12,30,0,60.0,209,5,0,0,-79
0,46,23.0,14,22,0,92.0,230,3,1,6,-23
1,44,37.0,21,21,1,123.0,217,2,0,0,-31
0,43,6.0,13,21,0,108.0,216,2,0,0,-31
1,42,41.0,17,17,1,105.0,219,2,0,0,-31
1,44,36.0,18,18,1,129.0,221,2,0,0,-29
0,45,23.0,18,29,0,134.0,209,2,0,0,-29
0,42,25.0,17,17,1,110.0,204,2,0,0,-31
0,42,8.0,13,15,0,122.0,224,2,0,0,-31
0,45,25.0,15,15,1,160.0,235,2,0,0,-29
0,44,18.0,11,19,0,86.0,206,2,0,0,-29
0,46,62.0,23,23,1,189.0,229,3,2,20,0
0,45,25.0,19,19,1,160.0,240,2,0,0,-29
0,44,13.0,13,21,0,148.0,223,2,0,0,-29
0,45,-31.0,17,17,1,82.0,201,5,0,0,-79
1,46,42.0,20,20,1,101.0,215,2,0,0,-17
1,44,83.0,25,25,1,150.0,225,2,2,17,17
0,44,75.0,23,23,1,195.0,247,2,2,17,17
1,44,45.0,20,20,1,93.0,196,2,0,0,-17
0,44,23.0,9,18,0,103.0,195,2,0,0,-17
1,46,50.0,11,17,0,81.0,207,2,1,9,1
1,44,42.0,9,26,0,98.0,212,2,0,0,-17
1,45,74.0,22,22,1,172.0,224,2,2,17,17
1,45,70.0,22,22,1,158.0,215,2,1,9,1
1,44,76.0,26,26,1,139.0,225,2,2,17,17
